> This file is a parallel corpus written for CS 687. Each line holds one English sentence and its Turkish translation, separated by a tab character. Lines beginning with a greater-than sign are comments and are skipped by the loader.
>
> These sentences were written for this course rather than taken from an existing corpus, so they may be copied, modified, and redistributed freely by anyone taking or teaching CS 687. They deliberately mix everyday vocabulary with academic and technical vocabulary, and they include many Turkish words that carry several suffixes, because the fertility effect is clearest exactly there.
>
> To extend this file, simply add lines in the same format. Roughly one hundred pairs is enough for a stable measurement; more pairs tighten the estimate.
The model reads the text and predicts the next word.	Model metni okuyor ve sonraki kelimeyi tahmin ediyor.
We are evaluating the work of our students this week.	Bu hafta öğrencilerimizin çalışmalarını değerlendiriyoruz.
The road from your houses to the university passes through the city.	Evlerinizden üniversiteye giden yol şehrin içinden geçiyor.
The students are studying deep learning topics in our course.	Öğrenciler dersimizde derin öğrenme konularını çalışıyorlar.
We put our books on the table and then went to the classroom.	Kitaplarımızı masanın üzerine koyduk ve sonra sınıfa gittik.
Computers turn text into numbers and models read those numbers.	Bilgisayarlar metinleri sayılara çeviriyor ve modeller bu sayıları okuyor.
The researchers at the university published their new results.	Üniversitedeki araştırmacılar yeni sonuçlarını yayınladılar.
We are explaining the methods we used in our studies.	Çalışmalarımızda kullandığımız yöntemleri anlatıyoruz.
We are doing experiments in the laboratory together with our friends.	Arkadaşlarımızla birlikte laboratuvarda deneyler yapıyoruz.
Our teacher listened to our questions carefully and answered them.	Öğretmenimiz sorularımızı dikkatle dinledi ve cevapladı.
The suffixes added to the end of words change the meaning.	Kelimelerin sonuna eklenen ekler anlamı değiştiriyor.
There is a large tree and a small table in the garden of our house.	Evimizin bahçesinde büyük bir ağaç ve küçük bir masa var.
Thousands of students study in the schools of our cities.	Şehirlerimizdeki okullarda binlerce öğrenci okuyor.
After reading what we had written, we made our corrections.	Yazdıklarımızı okuduktan sonra düzeltmelerimizi yaptık.
Every word in this sentence is used frequently in Turkish.	Bu cümledeki her kelime Türkçede sıkça kullanılıyor.
In our future studies we will deepen this subject.	Gelecekteki çalışmalarımızda bu konuyu derinleştireceğiz.
We work very hard in order to explain what we have understood.	Anlayabildiklerimizi anlatabilmek için çok çalışıyoruz.
The children were reading a book about animals and plants.	Çocuklar hayvanlar ve bitkiler hakkında bir kitap okuyorlardı.
People who speak more than one language often notice these problems.	Birden fazla dil konuşanlar bu sorunları sıklıkla fark ediyorlar.
The computer processes the sequence one position at a time.	Bilgisayar diziyi her seferinde bir konum işliyor.
Words that appear often become single tokens and rare words are split.	Sık görülen kelimeler tek parça oluyor ve nadir kelimeler bölünüyor.
Training a model requires computing the loss and following the gradient.	Bir modeli eğitmek kaybı hesaplamayı ve eğimi takip etmeyi gerektiriyor.
The teacher asked the students to write their answers on the board.	Öğretmen öğrencilerden cevaplarını tahtaya yazmalarını istedi.
Information theory tells us that prediction and compression are the same.	Bilgi kuramı bize tahmin ile sıkıştırmanın aynı olduğunu söylüyor.
We can measure the number of tokens produced for each word of text.	Metnin her kelimesi için üretilen parça sayısını ölçebiliriz.
My friend came to our house yesterday evening and stayed until morning.	Arkadaşım dün akşam evimize geldi ve sabaha kadar kaldı.
The examination will be held in the largest hall of the building.	Sınav binanın en büyük salonunda yapılacak.
I could not finish the work I had started because of the rain.	Yağmur yüzünden başladığım işi bitiremedim.
Those who wish to participate should write their names on this list.	Katılmak isteyenler isimlerini bu listeye yazmalıdır.
The train leaving from the station arrives in the capital in the morning.	İstasyondan kalkan tren başkente sabah varıyor.
We were surprised by the results we obtained from our experiments.	Deneylerimizden elde ettiğimiz sonuçlara şaşırdık.
The new method works faster than the one described in the article.	Yeni yöntem makalede anlatılandan daha hızlı çalışıyor.
It is difficult to explain this idea without using mathematics.	Bu fikri matematik kullanmadan açıklamak zordur.
The photographs taken during the trip are in the box on the shelf.	Gezi sırasında çekilen fotoğraflar raftaki kutunun içinde.
Everyone who worked on this project deserves to be congratulated.	Bu projede çalışan herkes tebrik edilmeyi hak ediyor.
The doctor said that the medicine should be taken after meals.	Doktor ilacın yemeklerden sonra alınması gerektiğini söyledi.
I forgot the name of the street where the old library stands.	Eski kütüphanenin bulunduğu sokağın adını unuttum.
The letters written by my grandmother are kept in this drawer.	Büyükannemin yazdığı mektuplar bu çekmecede saklanıyor.
We could not understand why the program stopped working suddenly.	Programın neden aniden çalışmayı durdurduğunu anlayamadık.
The number of people living in this neighbourhood has doubled.	Bu mahallede yaşayanların sayısı iki katına çıktı.
She explained the subject so clearly that everyone understood it.	Konuyu o kadar açık anlattı ki herkes anladı.
The bridge connecting the two sides of the city was built last year.	Şehrin iki yakasını birleştiren köprü geçen yıl yapıldı.
The problems we could not solve were left for the next meeting.	Çözemediğimiz sorunlar bir sonraki toplantıya bırakıldı.
Water boils at one hundred degrees under normal atmospheric pressure.	Su normal atmosfer basıncında yüz derecede kaynıyor.
The students who finished early helped the ones who were still working.	Erken bitiren öğrenciler hâlâ çalışanlara yardım ettiler.
It began to rain just as we were leaving the building.	Tam binadan çıkarken yağmur yağmaya başladı.
The company announced that it would open a new office in the city.	Şirket şehirde yeni bir ofis açacağını duyurdu.
I would like to thank everyone who supported us during this work.	Bu çalışma sırasında bize destek olan herkese teşekkür etmek istiyorum.
The books on the top shelf have not been touched for many years.	Üst raftaki kitaplara uzun yıllardır dokunulmadı.
He said that he had never seen such a beautiful garden before.	Daha önce hiç bu kadar güzel bir bahçe görmediğini söyledi.
